Webbsida,"Total time","HTTP Code"
http://skatteverket.se,0.007576,301
http://aftonbladet.se,0.007189,301
http://umea.se,0.200703,200
http://upplevelseriket.se,0.082867,200
http://arbetsformedlingen.se,0.010221,302
http://sunet.se,0.006502,302
http://kungahuset.se,0.007798,301
http://migrationsverket.se,0.013588,301
http://studera.nu,0.044522,200
http://micros-fidelio.se,0.067848,301
http://brio.se,0.087431,301
http://kvik.se,0.094903,301
http://sasmedia.se,0.26447,302
http://eniro.se,0.029624,301
http://forum24.se,0.011077,302
http://dis.se,0.026491,301
http://shipsforsale.se,0.125962,303
http://metoperafamily.org,0.220362,301
http://tena.us,0.033325,301
http://legoland.com,0.11805,200
http://corinthia.com,0.299135,200
http://musiccenter.org,0.356873,301
http://passagen.se,0.009376,301
http://surftown.se,1.210211,200
http://webtraffic.se,0.010055,302
http://spray.se,0.010499,301
http://lu.se,0.035752,301
